method,ai_malpyeong_accuracy,kornli_accuracy,ai_malpyeong_macro_precision,kornli_macro_precision,ai_malpyeong_macro_recall,kornli_macro_recall,ai_malpyeong_macro_f1,kornli_macro_f1
Single-task,0.855,0.870,0.579,0.870,0.597,0.870,0.588,0.869
Single-task+M,0.881,0.870,0.590,0.870,0.615,0.870,0.602,0.870
KoDiMARC (NO),0.870,0.865,0.654,0.866,0.657,0.865,0.652,0.865
KoDiMARC (WITH),0.874,0.873,0.671,0.873,0.685,0.873,0.674,0.873
GPT-5.2,0.297,0.730,0.428,0.613,0.233,0.547,0.219,0.550
Claude-sonnet-4.5,0.624,0.858,0.445,0.648,0.422,0.644,0.390,0.644
GPT-5.2 (few-shot),0.762,0.790,0.468,0.625,0.456,0.593,0.447,0.596
Claude-sonnet-4.5 (few-shot),0.799,0.873,0.475,0.660,0.474,0.655,0.465,0.655
KoELECTRA (Base),0.758,0.793,0.511,0.795,0.530,0.793,0.516,0.793
XLM-Roberta (Base),0.565,0.783,0.433,0.783,0.400,0.782,0.355,0.783
KoBERT,0.817,0.733,0.545,0.735,0.570,0.733,0.557,0.733
KcELECTRA-base,0.750,0.793,0.500,0.793,0.524,0.793,0.512,0.793
KoELECTRA (Small),0.661,0.726,0.442,0.730,0.461,0.726,0.450,0.726
SimCSE,0.776,0.800,0.518,0.801,0.542,0.800,0.529,0.799
DisSent-kr,0.892,0.796,0.595,0.797,0.622,0.796,0.608,0.796
ConnPrompt-kr,0.869,0.812,0.580,0.813,0.607,0.812,0.593,0.812
TEPrompt-kr,0.806,0.796,0.540,0.801,0.562,0.796,0.550,0.797
